Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS OF CALIFORNIA,C3G,CD RTC,8,7.10%,7.10%,$337.50,01/03/2023
ANTHEM BLUE CROSS OF CALIFORNIA,C3G,CD PHP,14,9.10%,9.10%,$342.00,01/03/2023
ANTHEM BLUE CROSS OF CALIFORNIA,CFH,MH IOP,6,9.50%,5.50%,$400.00,10/23/2023
ANTHEM BLUE CROSS OF CALIFORNIA,DGA,CD RTC,15,86.00%,86.00%,"$4,360.21",06/01/2022
ANTHEM BLUE CROSS OF CALIFORNIA,DGA,CD PHP,10,100.00%,100.00%,"$3,708.00",06/22/2022
ANTHEM BLUE CROSS OF CALIFORNIA,EFW,DTX,11,31.50%,18.80%,"$3,064.55",01/12/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EFW,CD RTC,20,48.80%,24.00%,"$3,150.00",02/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EJN,DTX,7,64.60%,64.60%,"$3,389.29",09/25/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EJN,CD RTC,13,70.00%,70.00%,"$3,325.00",09/19/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EJN,CD PHP,30,16.50%,16.50%,$535.08,10/30/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EJN,CD IOP,20,10.30%,10.30%,$257.41,11/27/2023
ANTHEM BLUE CROSS OF CALIFORNIA,EXQ,CD PHP,1 24,46.20%,43.00%,"$1,500.00",08/12/2022
ANTHEM BLUE CROSS OF CALIFORNIA,G5S,DTX,4,27.10%,14.10%,"$1,478.62",05/23/2023
ANTHEM BLUE CROSS OF CALIFORNIA,GEO,CD PHP,25,14.00%,14.00%,$501.80,12/28/2022
ANTHEM BLUE CROSS OF CALIFORNIA,GEO,CD IOP,2 19,19.10%,14.80%,$517.05,09/25/2023
ANTHEM BLUE CROSS OF CALIFORNIA,GEO,OP GROUP,20,19.90%,15.50%,$94.50,09/25/2023
ANTHEM BLUE CROSS OF CALIFORNIA,GGS,CD PHP,60,40.60%,40.60%,"$1,387.40",07/19/2022
ANTHEM BLUE CROSS OF CALIFORNIA,GGS,CD IOP,49,22.80%,22.80%,$635.66,09/20/2022
ANTHEM BLUE CROSS OF CALIFORNIA,GGS,MH IOP,35,29.60%,29.60%,$861.14,11/08/2022
ANTHEM BLUE CROSS OF CALIFORNIA,GGS,OP GROUP,11,14.10%,14.10%,$176.56,11/22/2022
ANTHEM BLUE CROSS OF CALIFORNIA,GIE,MH PHP,16,12.60%,8.70%,$295.30,07/12/2022
ANTHEM BLUE CROSS OF CALIFORNIA,H3H,CD RTC,7,14.40%,14.40%,$894.00,10/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,H3H,MH PHP,8,13.30%,13.30%,$555.12,11/24/2023
ANTHEM BLUE CROSS OF CALIFORNIA,H3N,CD PHP,2,15.80%,7.90%,$553.00,11/17/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,DTX,20,58.00%,53.90%,"$2,688.72",01/18/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,CD RTC,38,46.00%,44.00%,"$2,154.57",07/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,CD PHP,110,56.50%,51.60%,"$1,816.32",08/01/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,CD IOP,187,40.50%,38.60%,"$1,129.04",11/20/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,MH IOP,55,60.20%,46.20%,"$1,211.19",10/16/2023
ANTHEM BLUE CROSS OF CALIFORNIA,HEA,OP GROUP,7,35.00%,30.30%,$628.25,10/16/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ILH,DTX,5,14.40%,10.00%,$702.40,03/14/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,DTX,6,30.00%,30.00%,"$1,800.00",11/22/2022
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,CD RTC,15,25.90%,25.90%,"$1,500.00",01/10/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,CD PHP,61,37.20%,34.70%,"$1,200.00",12/28/2022
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,CD IOP,83,30.70%,28.40%,$829.92,03/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,MH IOP,77,23.20%,23.20%,$675.44,07/03/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ILY,OP GROUP,15,5.30%,5.30%,$94.70,07/19/2022
ANTHEM BLUE CROSS OF CALIFORNIA,JOH,OP GROUP,15,20.00%,18.50%,$400.00,11/20/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JOH,OP INDIVIDUAL,14,23.70%,23.70%,$142.86,10/30/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JPU,CD PHP,33,15.30%,15.10%,$566.69,12/01/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JPU,MH IOP,30,9.50%,9.50%,$400.00,09/19/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,DTX,5,11.50%,4.20%,$746.20,08/29/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,CD RTC,20,12.70%,9.20%,$614.70,08/29/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,MH RTC,22,21.70%,13.00%,"$1,055.95",02/28/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,CD PHP,30,11.40%,7.20%,$463.67,04/18/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,MH PHP,10,15.40%,7.70%,$553.00,04/25/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQU,MH IOP,92,10.10%,5.60%,$400.00,10/16/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQY,CD PHP,5,15.80%,7.80%,$553.00,05/31/2023
ANTHEM BLUE CROSS OF CALIFORNIA,JQY,CD IOP,20,10.90%,5.10%,$297.00,02/01/2022
ANTHEM BLUE CROSS OF CALIFORNIA,JQY,MH IOP,2,100.00%,26.20%,"$4,193.00",07/25/2023
ANTHEM BLUE CROSS OF CALIFORNIA,KNQ,CD PHP,10,15.20%,15.20%,$570.00,10/21/2022
ANTHEM BLUE CROSS OF CALIFORNIA,L3D,DTX,3,50.00%,50.00%,"$3,250.00",07/10/2023
ANTHEM BLUE CROSS OF CALIFORNIA,L3D,CD PHP,24,36.90%,26.80%,"$1,200.00",08/12/2022
ANTHEM BLUE CROSS OF CALIFORNIA,L3D,CD IOP,39,30.20%,30.20%,$860.00,11/08/2022
ANTHEM BLUE CROSS OF CALIFORNIA,L3D,MH IOP,36,29.00%,29.00%,$846.67,12/28/2022
ANTHEM BLUE CROSS OF CALIFORNIA,L3D,OP GROUP,10,24.00%,24.00%,$495.68,12/20/2022
ANTHEM BLUE CROSS OF CALIFORNIA,LLT,CD PHP,22,5.40%,4.10%,$177.00,05/02/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LMR,DTX,6,60.00%,54.00%,"$3,465.00",10/31/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LMR,CD RTC,10,60.00%,57.00%,"$3,135.00",11/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LMR,CD PHP,18,12.40%,12.40%,$578.22,11/28/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LSA,MH RTC,8,23.90%,19.00%,"$1,101.38",03/28/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LSE,CD IOP,54,33.20%,31.30%,$941.59,05/31/2022
ANTHEM BLUE CROSS OF CALIFORNIA,LSE,MH IOP,53,34.20%,34.20%,"$1,000.00",08/30/2022
ANTHEM BLUE CROSS OF CALIFORNIA,LSE,OP GROUP,3,5.30%,5.30%,$94.70,06/22/2022
ANTHEM BLUE CROSS OF CALIFORNIA,LTB,DTX,6,20.00%,15.50%,"$1,053.00",07/11/2023
ANTHEM BLUE CROSS OF CALIFORNIA,LTB,CD RTC,10,18.90%,15.10%,$894.00,07/11/2023
ANTHEM BLUE CROSS OF CALIFORNIA,MHY,DTX,2,58.70%,35.20%,"$3,200.00",04/11/2023
ANTHEM BLUE CROSS OF CALIFORNIA,MJQ,DTX,7,16.50%,16.50%,$950.00,08/24/2023
