Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,EZV,CD RTC,22,58.60%,58.60%,"$3,108.30",08/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,FTQ,DTX,7,45.50%,21.90%,"$2,394.69",05/02/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,FTQ,CD RTC,22,59.20%,58.20%,"$2,815.70",07/05/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,GYR,DTX,7,39.20%,39.20%,"$2,330.58",06/14/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,GYR,CD RTC,4,41.30%,41.30%,"$2,039.99",06/07/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ING,CD PHP,17,30.00%,30.00%,"$1,098.42",07/12/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ING,CD IOP,26,16.00%,16.00%,$491.16,08/16/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ING,MH IOP,5,29.40%,29.40%,$860.00,09/13/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,ING,OP GROUP,2,6.10%,6.10%,$110.32,08/30/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,IRO,CD PHP,4,45.10%,37.60%,"$1,388.75",07/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,JNH,CD PHP,24,42.90%,42.90%,"$1,500.00",05/31/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,JNH,CD IOP,1 13,24.50%,24.50%,$701.25,06/20/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,JPY,OP GROUP,4,15.90%,11.20%,$159.41,08/09/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,JVC,MH IOP,17,7.80%,4.90%,$195.00,09/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,KGR,CD PHP,1 19,34.30%,34.30%,"$1,200.00",04/04/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,KGR,CD IOP,23,33.40%,33.40%,"$1,000.00",05/02/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,KRO,CD PHP,3,21.20%,19.80%,$687.96,06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,KRO,CD IOP,13,9.90%,9.90%,$415.98,07/11/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,KRO,MH IOP,5,20.30%,20.30%,$850.00,07/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,LNC,CD PHP,26,36.90%,36.90%,"$1,200.00",11/01/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,LNC,CD IOP,10,27.40%,27.40%,$802.18,12/13/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,MBW,CD PHP,25,29.10%,29.10%,$955.76,10/25/2022
