Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,FVI,DTX,7,19.50%,19.50%,"$1,030.00",01/18/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,FZX,CD PHP,49,35.20%,35.20%,"$1,269.31",09/05/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,FZX,CD IOP,8,25.10%,25.10%,$813.16,05/09/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,MCO,CD PHP,13,16.20%,16.20%,$535.08,11/27/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,MTA,CD PHP,8,21.20%,9.20%,$687.96,11/10/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,MTA,CD IOP,42,20.40%,12.90%,$617.38,09/25/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,MTA,MH IOP,16,34.20%,34.20%,"$1,000.00",10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,MTA,OP GROUP,25,33.40%,30.00%,$600.00,11/27/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,PFE,DTX,1,46.80%,35.00%,"$2,315.00",03/13/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,PFE,CD RTC,6,51.70%,47.30%,"$2,301.86",11/08/2022
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,PFE,CD PHP,21,50.00%,50.00%,"$1,875.00",01/31/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,QDB,DTX,1 5,46.20%,37.00%,"$2,515.93",09/11/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,QDB,CD RTC,39,52.70%,52.70%,"$2,607.89",10/06/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,QDB,CD PHP,3,16.70%,16.70%,$541.05,11/03/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,RYL,DTX,1 3,60.00%,30.00%,"$3,165.00",10/04/2022
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,RYL,CD RTC,14,31.50%,28.40%,"$1,084.07",10/27/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,TJA,DTX,4,8.70%,7.00%,$458.01,07/17/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,TJA,CD PHP,4,5.40%,4.90%,$177.00,06/13/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,TJA,MH PHP,3,5.30%,4.30%,$177.00,06/26/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,VQX,DTX,6,38.50%,35.20%,"$2,308.06",04/11/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,VQX,CD PHP,14,12.30%,7.40%,$687.96,04/25/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,VQX,MH PHP,11,8.70%,6.70%,$462.66,10/02/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,VQX,MH IOP,5,9.50%,6.70%,$400.00,10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,DTX,6,41.00%,41.00%,"$2,393.12",04/18/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,CD RTC,21,49.80%,47.20%,"$2,542.80",04/25/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,CD PHP,41,32.70%,26.70%,"$1,211.59",05/02/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,CD IOP,55,25.80%,25.80%,$706.91,07/03/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,MH IOP,4,13.30%,13.30%,$400.00,08/01/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,X4M,OP INDIVIDUAL,4,21.10%,21.10%,$400.00,07/17/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,XHY,CD RTC,3,59.40%,59.40%,"$2,850.00",07/27/2022
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,XHY,MH RTC,5,59.40%,51.40%,"$2,850.00",07/11/2022
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,XHY,MH PHP,7,59.50%,59.50%,"$2,257.14",07/19/2022
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,YRZ,DTX,7,18.20%,9.90%,"$1,053.00",08/08/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,YRZ,CD RTC,11,17.10%,12.00%,$894.00,08/08/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,YRZ,CD PHP,12,11.80%,8.30%,$553.00,08/29/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,YTN,DTX,3,100.00%,9.70%,"$5,450.00",11/20/2023
ANTHEM BLUE CROSS BLUE SHIELD OF VIRGINIA,ZTH,CD RTC,21,55.00%,43.90%,"$2,598.75",02/28/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ZTH,DTX,10,60.50%,60.50%,"$3,349.81",05/24/2022
ANTHEM BLUE CROSS OF CALIFORNIA,A9U,CD RTC,1,100.00%,55.00%,"$4,450.00",11/22/2022
ANTHEM BLUE CROSS OF CALIFORNIA,ACR,DTX,5,19.50%,19.50%,"$1,030.00",04/11/2023
ANTHEM BLUE CROSS OF CALIFORNIA,ACR,CD RTC,16,59.40%,50.10%,"$2,629.69",03/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,AGS,MH PHP,29,15.00%,8.90%,$570.00,08/23/2022
ANTHEM BLUE CROSS OF CALIFORNIA,B3F,DTX,5,5.00%,5.00%,$270.00,07/10/2023
ANTHEM BLUE CROSS OF CALIFORNIA,B3F,CD RTC,10,10.40%,10.40%,$343.00,08/01/2023
ANTHEM BLUE CROSS OF CALIFORNIA,B3F,CD PHP,1,50.60%,50.60%,"$2,000.00",08/14/2023
ANTHEM BLUE CROSS OF CALIFORNIA,B3F,CD IOP,2,10.00%,10.00%,$300.00,06/13/2023
ANTHEM BLUE CROSS OF CALIFORNIA,BAY,DTX,7,8.60%,7.70%,$621.00,07/11/2023
ANTHEM BLUE CROSS OF CALIFORNIA,BAY,CD RTC,12,13.60%,9.40%,$767.50,08/01/2023
ANTHEM BLUE CROSS OF CALIFORNIA,BBW,CD RTC,10,10.80%,9.70%,$535.00,08/03/2023
ANTHEM BLUE CROSS OF CALIFORNIA,BBW,CD PHP,21,8.40%,8.40%,$331.80,08/07/2023
ANTHEM BLUE CROSS OF CALIFORNIA,BCP,MH RTC,6,31.80%,22.30%,"$1,528.15",11/29/2022
ANTHEM BLUE CROSS OF CALIFORNIA,C3G,DTX,7,3.80%,3.80%,$208.29,01/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,MH IOP,27,34.20%,34.20%,"$1,000.00",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,X5H,OP GROUP,4,35.00%,35.00%,$628.25,10/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,CD PHP,45,35.20%,30.40%,"$1,123.62",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,CD IOP,42,35.10%,35.10%,"$1,000.00",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,MH IOP,36,10.60%,10.60%,$311.00,07/03/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,XTU,OP GROUP,15,38.60%,38.60%,$693.33,07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRP,CD RTC,4,37.90%,33.80%,"$2,271.25",12/28/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRP,CD IOP,14,11.40%,5.10%,$320.00,04/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,DTX,10,51.50%,44.80%,"$3,088.20",07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,CD RTC,25,58.60%,57.80%,"$3,296.40",11/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OHIO,YRX,CD PHP,29,31.80%,29.10%,"$1,522.41",06/13/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,CD PHP,25,35.70%,34.50%,"$1,096.00",04/12/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,CD IOP,25,35.10%,35.10%,"$1,000.00",05/10/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ARJ,MH IOP,20,34.20%,34.20%,"$1,000.00",06/14/2022
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,C8C,DTX,7,45.50%,28.70%,"$2,453.95",04/04/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,C8C,CD RTC,66,60.00%,57.10%,"$2,970.00",08/21/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,GBR,CD PHP,2,36.90%,9.20%,"$1,200.00",02/22/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,KJU,DTX,7,33.20%,23.20%,"$1,895.84",10/17/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,KJU,CD RTC,24,65.00%,55.60%,"$3,396.25",11/28/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,ONA,CD PHP,7,42.90%,42.90%,"$1,500.00",06/26/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,RWU,CD PHP,6,18.70%,18.70%,$616.00,11/27/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,DTX,15,48.70%,34.10%,"$2,475.90",08/21/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD RTC,78,46.90%,40.50%,"$2,193.84",09/18/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD PHP,55,28.10%,26.50%,$913.58,10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,UCR,CD IOP,8,35.10%,35.10%,"$1,000.00",10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,YRQ,DTX,7,19.30%,19.30%,"$1,053.00",10/30/2023
ANTHEM BLUE CROSS BLUE SHIELD OF MISSOURI,YRQ,CD RTC,3,18.10%,18.10%,$894.00,11/06/2023
