Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
AETNA,CCK,CD PHP,36,23.70%,23.70%,$769.37,12/28/2022
AETNA,CCK,CD IOP,22,23.70%,23.70%,$674.68,05/02/2023
AETNA,X9A,CD PHP,25,23.70%,23.70%,$769.37,07/28/2022
AMERIBEN SOLUTIONS,AJK,DTX,7,80.00%,57.70%,"$4,220.00",06/14/2023
AMERIBEN SOLUTIONS,AJK,CD RTC,21,80.00%,80.00%,"$3,780.00",07/15/2023
AMERIBEN SOLUTIONS,AJK,CD PHP,48,78.80%,78.80%,"$2,723.69",11/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,AMD,CD PHP,38,32.60%,25.40%,"$1,102.07",02/21/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,AMD,CD IOP,34,14.20%,14.20%,$429.69,12/06/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,BFX,DTX,7,95.30%,95.30%,"$5,024.57",09/26/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,BFX,CD RTC,23,49.40%,49.40%,"$2,428.06",07/17/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,BYP,CD PHP,28,36.90%,26.10%,"$1,200.00",09/13/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,BYP,CD IOP,1 6,35.10%,35.10%,"$1,000.00",09/13/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,CVE,DTX,7,65.00%,65.00%,"$3,753.75",09/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,CVE,CD RTC,7,62.50%,54.00%,"$3,209.64",09/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,CVE,DTX CD RTC,7 7,62.50%,54.00%,"$3,209.64",09/06/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,DZV,DTX,4,70.00%,70.00%,"$3,675.00",08/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,DZV,CD RTC,25,70.00%,70.00%,"$3,325.00",08/28/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,DZV,CD PHP,29,34.60%,34.60%,"$1,177.07",09/25/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,DZV,CD IOP,26,22.30%,22.30%,$674.17,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,E6C,CD PHP,35,17.00%,16.50%,$553.00,08/14/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,E6C,CD IOP,72,13.50%,10.50%,$406.25,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,EYU,DTX,8,55.00%,55.00%,"$2,900.31",01/24/2023
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,EYU,CD RTC,14,55.00%,55.00%,"$2,598.75",12/28/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,G6S,DTX,7,48.50%,48.50%,"$2,400.00",10/25/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,G6S,CD RTC,21,48.00%,48.00%,"$2,136.00",11/08/2022
ANTHEM BLUE CROSS AND BLUE SHIELD INDIANA,GTF,DTX,6,44.90%,44.90%,"$2,355.45",08/15/2023
